Query_number,doc_number
1,237264
1,330437
1,296243
1,213579
1,176918
1,206958
1,103201
1,211050
1,28708
1,225127
2,253545
2,413834
2,446730
2,428907
2,389103
2,239433
2,90580
2,397911
2,235170
2,241970
3,412243
3,95119
3,99492
3,322194
3,184480
3,114937
3,435466
3,28266
3,446120
3,157108
4,215320
4,425159
4,346146
4,83789
4,252106
4,423161
4,114946
4,126450
4,188739
4,318932
5,228885
5,266494
5,400329
5,237579
5,258900
5,429555
5,438362
5,29578
5,184719
5,171495
6,294577
6,51271
6,390654
6,85102
6,248947
6,40519
6,80228
6,480841
6,455601
6,342088
7,265715
7,173088
7,247139
7,306271
7,258740
7,229311
7,377552
7,134603
7,250183
7,461656
8,102418
8,405570
8,236500
8,362404
8,95204
8,401711
8,109001
8,14705
8,323435
8,236933
9,102770
9,95059
9,382221
9,87600
9,53352
9,315769
9,370662
9,256318
9,461742
9,415025
10,297761
10,89072
10,428414
10,174391
10,288183
10,107176
10,490691
10,472683
10,283766
10,237179
11,386997
11,305019
11,275918
11,129888
11,355334
11,80551
11,160583
11,155218
11,158920
11,243317
12,3976
12,267626
12,393641
12,383404
12,374216
12,451181
12,308480
12,459238
12,90379
12,285908
13,79603
13,481938
13,164486
13,184607
13,143587
13,148453
13,445236
13,179336
13,182746
13,238619
14,423544
14,482219
14,474792
14,463695
14,210086
14,170186
14,71200
14,347215
14,420475
14,140572
15,324887
15,284662
15,449456
15,141260
15,90609
15,53396
15,11911
15,348309
15,184067
15,237381
16,476737
16,234370
16,314276
16,99653
16,219257
16,452311
16,72772
16,314288
16,347550
16,116172
17,87738
17,473427
17,136116
17,274850
17,286389
17,146452
17,478978
17,251783
17,361737
17,70190
18,426872
18,179059
18,13449
18,19726
18,96953
18,183857
18,350565
18,223887
18,289586
18,394443
19,342368
19,50831
19,5887
19,61963
19,420615
19,90519
19,259214
19,252387
19,328544
19,30236
20,446893
20,441672
20,79672
20,442885
20,362713
20,311161
20,347649
20,20911
20,306196
20,69346
21,389777
21,250951
21,229100
21,73600
21,369123
21,438632
21,218008
21,185738
21,377738
21,367532
22,203340
22,347763
22,350825
22,133830
22,253951
22,141837
22,329695
22,309912
22,314585
22,257063
23,332471
23,92263
23,163112
23,39061
23,360132
23,58049
23,258905
23,71790
23,189469
23,218462
24,451729
24,281834
24,451396
24,238510
24,167147
24,389793
24,394689
24,27099
24,126084
24,96667
25,10519
25,276547
25,259798
25,264487
25,150286
25,435670
25,100578
25,173573
25,396027
25,390046
26,88548
26,486604
26,33180
26,31839
26,94651
26,417222
26,489211
26,200665
26,460912
26,226833
27,88106
27,290689
27,200193
27,355134
27,141729
27,133067
27,84637
27,454715
27,268658
27,299523
28,292675
28,328501
28,67638
28,204911
28,157428
28,189580
28,199228
28,473982
28,339020
28,412889
29,215162
29,134929
29,6910
29,136718
29,108222
29,49307
29,174789
29,51481
29,234316
29,287998
30,164923
30,171306
30,398536
30,403418
30,413971
30,499957
30,265725
30,203280
30,460940
30,201546
31,323226
31,418970
31,65801
31,413968
31,134787
31,182994
31,54204
31,161077
31,287038
31,59466
32,307971
32,406360
32,218470
32,323197
32,342624
32,444490
32,84082
32,41366
32,381016
32,56423
33,348784
33,372234
33,180557
33,442610
33,367
33,378214
33,420663
33,344066
33,112355
33,82120
34,478956
34,74998
34,20661
34,97141
34,272017
34,234628
34,172371
34,202824
34,118580
34,7184
35,122496
35,63958
35,183582
35,168461
35,453639
35,254580
35,172984
35,464050
35,242654
35,401421
36,121240
36,76393
36,472152
36,92058
36,13325
36,75427
36,497141
36,371717
36,153342
36,337305
37,38642
37,179568
37,279782
37,189078
37,112827
37,256130
37,425487
37,161112
37,140908
37,46147
38,24642
38,252482
38,434468
38,492772
38,18404
38,160886
38,437491
38,431918
38,416149
38,500983
39,363436
39,125945
39,164763
39,371634
39,61706
39,270699
39,267732
39,394557
39,361560
39,323743
40,198985
40,299410
40,321141
40,126143
40,85336
40,461626
40,458406
40,78785
40,181703
40,179271
41,15039
41,231053
41,127351
41,116659
41,102838
41,306378
41,326747
41,239460
41,33838
41,282384
42,498283
42,160681
42,451781
42,132139
42,381527
42,453293
42,317867
42,199843
42,370614
42,442908
43,171753
43,367586
43,165246
43,96462
43,6314
43,88132
43,255168
43,52999
43,109819
43,456235
44,378560
44,470570
44,121606
44,407868
44,491003
44,58551
44,177915
44,160298
44,459825
44,491788
45,416506
45,453947
45,327960
45,159002
45,464718
45,14995
45,100912
45,36509
45,348523
45,39299
46,139404
46,277378
46,461424
46,274882
46,287720
46,160205
46,155525
46,242772
46,453837
46,362561
47,343370
47,478897
47,407006
47,170375
47,475836
47,42260
47,405580
47,73604
47,177003
47,180496
48,71786
48,383295
48,144509
48,72367
48,236729
48,491144
48,350202
48,126012
48,360064
48,68556
49,164484
49,106731
49,185747
49,461841
49,39108
49,362507
49,237763
49,405210
49,417341
49,347512
50,338102
50,233609
50,249312
50,480620
50,347144
50,316741
50,230793
50,420988
50,248974
50,389755
51,240864
51,262997
51,152290
